gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000276	Core	NA	NA
GC_00000277	Core	NA	NA
GC_00000278	Core	NA	NA
GC_00000279	Core	NA	NA
GC_00000280	Core	NA	NA
GC_00000281	Core	NA	NA
GC_00000282	Core	NA	NA
GC_00000283	Core	NA	NA
GC_00000284	Core	NA	NA
GC_00000285	Core	NA	NA
GC_00000286	Core	NA	NA
GC_00000287	Core	NA	NA
GC_00000288	Core	NA	NA
GC_00000289	Core	NA	NA
GC_00000290	Core	NA	NA
GC_00000291	Core	NA	NA
GC_00000292	Core	NA	NA
GC_00000293	Core	NA	NA
GC_00000294	Core	NA	NA
GC_00000295	Core	NA	NA
GC_00000296	Core	NA	NA
GC_00000297	Core	NA	NA
GC_00000298	Core	NA	NA
GC_00000299	Core	NA	NA
GC_00000300	Core	NA	NA
GC_00000301	Core	NA	NA
GC_00000303	Core	NA	NA
GC_00000304	Core	NA	NA
GC_00000305	Core	NA	NA
GC_00000306	Core	NA	NA
GC_00000307	Core	NA	NA
GC_00000308	Core	NA	NA
GC_00000309	Core	NA	NA
GC_00000310	Core	NA	NA
GC_00000311	Core	NA	NA
GC_00000312	Core	NA	NA
GC_00000313	Core	NA	NA
GC_00000314	Core	NA	NA
GC_00000315	Core	NA	NA
GC_00000316	Core	NA	NA
GC_00000317	Core	NA	NA
GC_00000318	Core	NA	NA
GC_00000319	Core	NA	NA
GC_00000320	Core	NA	NA
GC_00000321	Core	NA	NA
GC_00000322	Core	NA	NA
GC_00000323	Core	NA	NA
GC_00000324	Core	NA	NA
GC_00000325	Core	NA	NA
GC_00000326	Core	NA	NA
GC_00000327	Core	NA	NA
GC_00000328	Core	NA	NA
GC_00000329	Core	NA	NA
GC_00000330	Core	NA	NA
GC_00000331	Core	NA	NA
GC_00000332	Core	NA	NA
GC_00000333	Core	NA	NA
GC_00000334	Core	NA	NA
GC_00000335	Core	NA	NA
GC_00000336	Core	NA	NA
GC_00000337	Core	NA	NA
GC_00000338	Core	NA	NA
GC_00000339	Core	NA	NA
GC_00000340	Core	NA	NA
GC_00000341	Core	NA	NA
GC_00000342	Core	NA	NA
GC_00000343	Core	NA	NA
GC_00000344	Core	NA	NA
GC_00000345	Core	NA	NA
GC_00000346	Core	NA	NA
GC_00000347	Core	NA	NA
GC_00000348	Core	NA	NA
GC_00000349	Core	NA	NA
GC_00000350	Core	NA	NA
GC_00000351	Core	NA	NA
GC_00000352	Core	NA	NA
GC_00000353	Core	NA	NA
GC_00000354	Core	NA	NA
GC_00000355	Core	NA	NA
GC_00000356	Core	NA	NA
GC_00000357	Core	NA	NA
GC_00000358	Core	NA	NA
GC_00000359	Core	NA	NA
GC_00000360	Core	NA	NA
GC_00000361	Core	NA	NA
GC_00000362	Core	NA	NA
GC_00000363	Core	NA	NA
GC_00000364	Core	NA	NA
GC_00000365	Core	NA	NA
GC_00000366	Core	NA	NA
GC_00000367	Core	NA	NA
GC_00000368	Core	NA	NA
GC_00000369	Core	NA	NA
GC_00000370	Core	NA	NA
GC_00000371	Core	NA	NA
GC_00000372	Core	NA	NA
GC_00000373	Core	NA	NA
GC_00000374	Core	NA	NA
GC_00000375	Core	NA	NA
GC_00000376	Core	NA	NA
GC_00000377	Core	NA	NA
GC_00000378	Core	NA	NA
GC_00000379	Core	NA	NA
GC_00000380	Core	NA	NA
GC_00000381	Core	NA	NA
GC_00000382	Core	NA	NA
GC_00000383	Core	NA	NA
GC_00000384	Core	NA	NA
GC_00000385	Core	NA	NA
GC_00000386	Core	NA	NA
GC_00000387	Core	NA	NA
GC_00000388	Core	NA	NA
GC_00000389	Core	NA	NA
GC_00000390	Core	NA	NA
GC_00000391	Core	NA	NA
GC_00000392	Core	NA	NA
GC_00000393	Core	NA	NA
GC_00000394	Core	NA	NA
GC_00000395	Core	NA	NA
GC_00000396	Core	NA	NA
GC_00000397	Core	NA	NA
GC_00000398	Core	NA	NA
GC_00000399	Core	NA	NA
GC_00000401	Core	NA	NA
GC_00000402	Core	NA	NA
GC_00000403	Core	NA	NA
GC_00000404	Core	NA	NA
GC_00000405	Core	NA	NA
GC_00000406	Core	NA	NA
GC_00000407	Core	NA	NA
GC_00000408	Core	NA	NA
GC_00000409	Core	NA	NA
GC_00000410	Core	NA	NA
GC_00000411	Core	NA	NA
GC_00000412	Core	NA	NA
GC_00000413	Core	NA	NA
GC_00000414	Core	NA	NA
GC_00000415	Core	NA	NA
GC_00000416	Core	NA	NA
GC_00000417	Core	NA	NA
GC_00000418	Core	NA	NA
GC_00000419	Core	NA	NA
GC_00000420	Core	NA	NA
GC_00000421	Core	NA	NA
GC_00000422	Core	NA	NA
GC_00000423	Core	NA	NA
GC_00000424	Core	NA	NA
GC_00000425	Core	NA	NA
GC_00000426	Core	NA	NA
GC_00000427	Core	NA	NA
GC_00000428	Core	NA	NA
GC_00000429	Core	NA	NA
GC_00000430	Core	NA	NA
GC_00000431	Core	NA	NA
GC_00000432	Core	NA	NA
GC_00000433	Core	NA	NA
GC_00000434	Core	NA	NA
GC_00000435	Core	NA	NA
GC_00000436	Core	NA	NA
