Func_Cluster_id	Pangenome	Environment	Enviro_specific
func_b316164e3bb0	Core_Pelagibacteraceae	NA	NA
func_1588f1697cdc	Core_Pelagibacteraceae	NA	NA
func_c123ffb71c0e	Core_Pelagibacteraceae	NA	NA
func_74464baac110	Core_Pelagibacteraceae	NA	NA
func_85f1a9e513ea	Core_Pelagibacteraceae	NA	NA
func_cd9f07035d94	Core_Pelagibacteraceae	NA	NA
func_5bf34df57cc5	Core_Pelagibacteraceae	NA	NA
func_42efbe7a69d0	Core_Pelagibacteraceae	NA	NA
func_d762b5326dfe	Core_Pelagibacteraceae	NA	NA
func_129cfc9b9f9f	Core_Pelagibacteraceae	NA	NA
func_abad4c409b87	Core_Pelagibacteraceae	NA	NA
func_2cd62a0598bf	Core_Pelagibacteraceae	NA	NA
func_611ad83f2647	Core_Pelagibacteraceae	NA	NA
func_91b4cb7ff332	Core_Pelagibacteraceae	NA	NA
func_c488d33a39b0	Core_Pelagibacteraceae	NA	NA
func_c439a9d4ef77	Core_Pelagibacteraceae	NA	NA
func_3cd3ad4b1f8e	Core_Pelagibacteraceae	NA	NA
func_688265d138fe	Core_Pelagibacteraceae	NA	NA
func_422a2fa08fb4	Core_Pelagibacteraceae	NA	NA
func_b3b880ea3b06	Core_Pelagibacteraceae	NA	NA
func_b4dfaf855a05	Core_Pelagibacteraceae	NA	NA
func_5d62b19f0d54	Core_Pelagibacteraceae	NA	NA
func_558cee7fea60	Core_Pelagibacteraceae	NA	NA
func_60626f698afe	Core_Pelagibacteraceae	NA	NA
func_e1186de4a21f	Core_Pelagibacteraceae	NA	NA
func_c13a457bfacd	Core_Pelagibacteraceae	NA	NA
func_cde63a92f698	Core_Pelagibacteraceae	NA	NA
func_80739dbd7812	Core_Pelagibacteraceae	NA	NA
func_070862ff9505	Core_Pelagibacteraceae	NA	NA
func_42f98012807b	Core_Pelagibacteraceae	NA	NA
func_ecbc9daf4a27	Core_Pelagibacteraceae	NA	NA
func_9818448d3a1d	Core_Pelagibacteraceae	NA	NA
func_6939d71443df	Core_Pelagibacteraceae	NA	NA
func_a0609f324d8c	Core_Pelagibacteraceae	NA	NA
func_8ecf2841fb28	Core_Pelagibacteraceae	NA	NA
func_883a2be8cfb6	Core_Pelagibacteraceae	NA	NA
func_fa1954619077	Core_Pelagibacteraceae	NA	NA
func_15cba85af2cb	Core_Pelagibacteraceae	NA	NA
func_7b398edc3164	Core_Pelagibacteraceae	NA	NA
func_278737054973	Core_Pelagibacteraceae	NA	NA
func_b9e5ddbce33b	Core_Pelagibacteraceae	NA	NA
func_e2ebfc3deb56	Core_Pelagibacteraceae	NA	NA
func_37389e5cfdeb	Core_Pelagibacteraceae	NA	NA
func_b7fb8f21018f	Core_Pelagibacteraceae	NA	NA
func_0b9e101449de	Core_Pelagibacteraceae	NA	NA
func_39b5e7d8cff8	Core_Pelagibacteraceae	NA	NA
func_d45601ef594a	Core_Pelagibacteraceae	NA	NA
func_e8361bf98ee0	Core_Pelagibacteraceae	NA	NA
func_6b5c9eae7bd5	Core_Pelagibacteraceae	NA	NA
func_0762d20f8c86	Core_Pelagibacteraceae	NA	NA
func_b83f2df9b837	Core_Pelagibacteraceae	NA	NA
func_5e4209074e0b	Core_Pelagibacteraceae	NA	NA
func_e9b079d2d04d	Core_Pelagibacteraceae	NA	NA
func_041b3dce4d66	Core_Pelagibacteraceae	NA	NA
func_abbdf6e718f9	Core_Pelagibacteraceae	NA	NA
func_168419f3a58e	Core_Pelagibacteraceae	NA	NA
func_44ce40b33ab2	Core_Pelagibacteraceae	NA	NA
func_50b3745d804b	Core_Pelagibacteraceae	NA	NA
func_ed5598b8c562	Core_Pelagibacteraceae	NA	NA
func_49dea067df88	Core_Pelagibacteraceae	NA	NA
func_94444a552de8	Core_Pelagibacteraceae	NA	NA
func_76ab845868f6	Core_Pelagibacteraceae	NA	NA
func_9d3e65cbd31b	Core_Pelagibacteraceae	NA	NA
func_af926286ff57	Core_Pelagibacteraceae	NA	NA
func_84b122e8e9fb	Core_Pelagibacteraceae	NA	NA
func_e4b59737df83	Core_Pelagibacteraceae	NA	NA
func_d36b2cd8f549	Core_Pelagibacteraceae	NA	NA
func_8d0226eed235	Core_Pelagibacteraceae	NA	NA
func_571e0c52287d	Core_Pelagibacteraceae	NA	NA
func_42f6207dbd72	Core_Pelagibacteraceae	NA	NA
func_72c68499854b	Core_Pelagibacteraceae	NA	NA
func_ce4b588af06a	Core_Pelagibacteraceae	NA	NA
func_70055dbcaea1	Core_Pelagibacteraceae	NA	NA
func_55ba3c7b0b5c	Core_Pelagibacteraceae	NA	NA
